Table Name,State Code,District Code,Area Name,Total/ Rural/Urban,Age (in years),Total - Male,Total - Female,PSUs - Male,PSUs - Female,Private - Male,Private - Female,Business owners - Male,Business owners - Female,Zero income - Male,Zero income - Female,Other kind of employment - Male,Other kind of employment- Female
HH06,07,00,State - DELHI  (07),URBAN,Less than 20,18985,2231,14914,1785,3845,275,217,162,9,9,0,0
HH06,07,00,State - DELHI  (07),URBAN,20-29,321305,9483,58350,2432,261158,5646,1485,1096,312,309,0,0
HH06,07,00,State - DELHI  (07),URBAN,30-39,715618,21977,11323,1058,688948,14961,14538,4757,809,1201,0,0
HH06,07,00,State - DELHI  (07),URBAN,40-49,649434,27435,3568,959,611240,15313,33842,9898,784,1265,0,0
HH06,07,00,State - DELHI  (07),URBAN,50-59,383357,25889,1976,715,341967,9995,38938,14604,476,575,0,0
HH06,07,00,State - DELHI  (07),URBAN,60-69,212466,24697,1181,459,169009,6503,42047,17478,229,257,0,0
HH06,07,00,State - DELHI  (07),URBAN,70-79,85091,17316,613,186,63585,2411,20808,14663,85,56,0,0
HH06,07,00,State - DELHI  (07),URBAN,80+,3843,327,1231,69,2478,160,129,95,5,3,0,0
HH06,07,00,State - DELHI  (07),URBAN,Age Not Stated,21345,7717,201,36,14362,670,6756,6992,26,19,0,0
HH06,07,01,District - North West   *  (01),TOTAL,All Ages,532711,28472,16753,1052,482348,10793,33075,15942,535,685,0,0
HH06,07,01,District - North West   *  (01),TOTAL,Less than 20,3939,410,3054,325,844,53,40,31,1,1,0,0
HH06,07,01,District - North West   *  (01),TOTAL,20-29,70061,1834,10291,318,59360,1207,320,252,90,57,0,0
HH06,07,01,District - North West   *  (01),TOTAL,30-39,164177,4570,1892,109,158724,3014,3378,1196,183,251,0,0
HH06,07,01,District - North West   *  (01),TOTAL,40-49,146813,5627,600,102,138515,2902,7567,2406,131,217,0,0
HH06,07,01,District - North West   *  (01),TOTAL,50-59,81112,5382,320,83,72360,1853,8357,3342,75,104,0,0
HH06,07,01,District - North West   *  (01),TOTAL,60-69,45183,5265,210,70,36484,1192,8450,3960,39,43,0,0
HH06,07,01,District - North West   *  (01),TOTAL,70-79,16816,3646,88,29,12930,413,3785,3195,13,9,0,0
HH06,07,01,District - North West   *  (01),TOTAL,80+,684,60,273,11,404,34,6,15,1,0,0,0
HH06,07,01,District - North West   *  (01),TOTAL,Age Not Stated,3926,1678,25,5,2727,125,1172,1545,2,3,0,0
HH06,07,01,District - North West   *  (01),RURAL,All Ages,45920,2193,1284,49,42285,647,2297,1467,54,30,0,0
HH06,07,01,District - North West   *  (01),RURAL,Less than 20,361,46,286,39,73,6,2,1,0,0,0,0
HH06,07,01,District - North West   *  (01),RURAL,20-29,6203,120,772,4,5387,95,34,20,10,1,0,0
HH06,07,01,District - North West   *  (01),RURAL,30-39,15458,335,126,1,14989,203,323,118,20,13,0,0
HH06,07,01,District - North West   *  (01),RURAL,40-49,12293,412,46,2,11632,181,601,220,14,9,0,0
HH06,07,01,District - North West   *  (01),RURAL,50-59,6339,380,16,0,5777,82,539,294,7,4,0,0
HH06,07,01,District - North West   *  (01),RURAL,60-69,3384,387,13,1,2886,50,482,333,3,3,0,0
HH06,07,01,District - North West   *  (01),RURAL,70-79,1433,286,12,0,1191,17,230,269,0,0,0,0
HH06,07,01,District - North West   *  (01),RURAL,80+,40,6,10,2,30,1,0,3,0,0,0,0
HH06,07,01,District - North West   *  (01),RURAL,Age Not Stated,409,221,3,0,320,12,86,209,0,0,0,0
HH06,07,01,District - North West   *  (01),URBAN,All Ages,486791,26279,15469,1003,440063,10146,30778,14475,481,655,0,0
HH06,07,01,District - North West   *  (01),URBAN,Less than 20,3578,364,2768,286,771,47,38,30,1,1,0,0
HH06,07,01,District - North West   *  (01),URBAN,20-29,63858,1714,9519,314,53973,1112,286,232,80,56,0,0
HH06,07,01,District - North West   *  (01),URBAN,30-39,148719,4235,1766,108,143735,2811,3055,1078,163,238,0,0
HH06,07,01,District - North West   *  (01),URBAN,40-49,134520,5215,554,100,126883,2721,6966,2186,117,208,0,0
HH06,07,01,District - North West   *  (01),URBAN,50-59,74773,5002,304,83,66583,1771,7818,3048,68,100,0,0
HH06,07,01,District - North West   *  (01),URBAN,60-69,41799,4878,197,69,33598,1142,7968,3627,36,40,0,0
HH06,07,01,District - North West   *  (01),URBAN,70-79,15383,3360,76,29,11739,396,3555,2926,13,9,0,0
HH06,07,01,District - North West   *  (01),URBAN,80+,644,54,263,9,374,33,6,12,1,0,0,0
HH06,07,01,District - North West   *  (01),URBAN,Age Not Stated,3517,1457,22,5,2407,113,1086,1336,2,3,0,0
HH06,07,02,District - North   *  (02),TOTAL,All Ages,139534,8967,5918,455,120721,3206,12693,5057,202,249,0,0
HH06,07,02,District - North   *  (02),TOTAL,Less than 20,1290,159,1031,126,245,23,14,10,0,0,0,0
HH06,07,02,District - North   *  (02),TOTAL,20-29,15819,463,3156,102,12543,296,103,50,17,15,0,0
HH06,07,02,District - North   *  (02),TOTAL,30-39,37688,1190,845,60,35743,735,1040,323,60,72,0,0
HH06,07,02,District - North   *  (02),TOTAL,40-49,38740,1702,410,69,35718,835,2553,703,59,95,0,0
HH06,07,02,District - North   *  (02),TOTAL,50-59,24014,1747,221,63,20905,635,2849,1008,39,41,0,0
HH06,07,02,District - North   *  (02),TOTAL,60-69,14051,1701,118,20,10412,415,3505,1244,16,22,0,0
HH06,07,02,District - North   *  (02),TOTAL,70-79,6036,1357,67,10,4054,208,1907,1135,8,4,0,0
HH06,07,02,District - North   *  (02),TOTAL,80+,142,9,53,2,78,3,11,4,0,0,0,0
HH06,07,02,District - North   *  (02),TOTAL,Age Not Stated,1754,639,17,3,1023,56,711,580,3,0,0,0
HH06,07,02,District - North   *  (02),RURAL,All Ages,8421,306,220,6,7919,133,273,163,9,4,0,0
HH06,07,02,District - North   *  (02),RURAL,Less than 20,51,5,43,4,8,1,0,0,0,0,0,0
HH06,07,02,District - North   *  (02),RURAL,20-29,1494,12,132,1,1359,7,2,4,1,0,0,0
HH06,07,02,District - North   *  (02),RURAL,30-39,3463,64,26,0,3389,43,45,19,3,2,0,0
HH06,07,02,District - North   *  (02),RURAL,40-49,2133,84,5,0,2032,43,93,39,3,2,0,0
HH06,07,02,District - North   *  (02),RURAL,50-59,786,68,8,0,716,31,61,37,1,0,0,0
HH06,07,02,District - North   *  (02),RURAL,60-69,364,50,1,0,308,4,54,46,1,0,0,0
HH06,07,02,District - North   *  (02),RURAL,70-79,109,17,3,0,90,4,16,13,0,0,0,0
HH06,07,02,District - North   *  (02),RURAL,80+,4,1,2,1,2,0,0,0,0,0,0,0
HH06,07,02,District - North   *  (02),RURAL,Age Not Stated,17,5,0,0,15,0,2,5,0,0,0,0
HH06,07,02,District - North   *  (02),URBAN,All Ages,131113,8661,5698,449,112802,3073,12420,4894,193,245,0,0
HH06,07,02,District - North   *  (02),URBAN,Less than 20,1239,154,988,122,237,22,14,10,0,0,0,0
HH06,07,02,District - North   *  (02),URBAN,20-29,14325,451,3024,101,11184,289,101,46,16,15,0,0
HH06,07,02,District - North   *  (02),URBAN,30-39,34225,1126,819,60,32354,692,995,304,57,70,0,0
HH06,07,02,District - North   *  (02),URBAN,40-49,36607,1618,405,69,33686,792,2460,664,56,93,0,0
HH06,07,02,District - North   *  (02),URBAN,50-59,23228,1679,213,63,20189,604,2788,971,38,41,0,0
HH06,07,02,District - North   *  (02),URBAN,60-69,13687,1651,117,20,10104,411,3451,1198,15,22,0,0
HH06,07,02,District - North   *  (02),URBAN,70-79,5927,1340,64,10,3964,204,1891,1122,8,4,0,0
HH06,07,02,District - North   *  (02),URBAN,80+,138,8,51,1,76,3,11,4,0,0,0,0
HH06,07,02,District - North   *  (02),URBAN,Age Not Stated,1737,634,17,3,1008,56,709,575,3,0,0,0
HH06,07,03,District - North East   *  (03),TOTAL,All Ages,293574,16945,8453,487,267515,7757,17315,8317,291,384,0,0
HH06,07,03,District - North East   *  (03),TOTAL,Less than 20,1908,321,1556,261,329,46,21,13,2,1,0,0
HH06,07,03,District - North East   *  (03),TOTAL,20-29,37939,1141,5162,88,32568,856,169,161,40,36,0,0
HH06,07,03,District - North East   *  (03),TOTAL,30-39,94712,3082,995,40,91703,2201,1923,702,91,139,0,0
HH06,07,03,District - North East   *  (03),TOTAL,40-49,83902,3850,324,40,79191,2264,4307,1421,80,125,0,0
HH06,07,03,District - North East   *  (03),TOTAL,50-59,43612,3346,153,19,38787,1354,4623,1919,49,54,0,0
HH06,07,03,District - North East   *  (03),TOTAL,60-69,22609,3013,99,16,18173,786,4316,2188,21,23,0,0
HH06,07,03,District - North East   *  (03),TOTAL,70-79,6971,1614,44,6,5394,194,1528,1410,5,4,0,0
HH06,07,03,District - North East   *  (03),TOTAL,80+,397,43,107,15,276,18,14,9,0,1,0,0
HH06,07,03,District - North East   *  (03),TOTAL,Age Not Stated,1524,535,13,2,1094,38,414,494,3,1,0,0
HH06,07,03,District - North East   *  (03),RURAL,All Ages,23633,1409,688,36,21231,547,1691,799,23,27,0,0
HH06,07,03,District - North East   *  (03),RURAL,Less than 20,165,34,127,26,37,7,1,1,0,0,0,0
HH06,07,03,District - North East   *  (03),RURAL,20-29,3413,94,437,6,2959,71,14,14,3,3,0,0
HH06,07,03,District - North East   *  (03),RURAL,30-39,7616,214,75,2,7358,134,176,67,7,11,0,0
HH06,07,03,District - North East   *  (03),RURAL,40-49,6467,333,21,0,5989,164,450,162,7,7,0,0
HH06,07,03,District - North East   *  (03),RURAL,50-59,3429,297,7,1,2997,90,421,202,4,4,0,0
HH06,07,03,District - North East   *  (03),RURAL,60-69,1848,252,8,0,1399,59,439,191,2,2,0,0
HH06,07,03,District - North East   *  (03),RURAL,70-79,539,140,2,1,389,16,148,123,0,0,0,0
HH06,07,03,District - North East   *  (03),RURAL,80+,27,4,7,0,20,3,0,1,0,0,0,0
HH06,07,03,District - North East   *  (03),RURAL,Age Not Stated,129,41,4,0,83,3,42,38,0,0,0,0
HH06,07,03,District - North East   *  (03),URBAN,All Ages,269941,15536,7765,451,246284,7210,15624,7518,268,357,0,0
HH06,07,03,District - North East   *  (03),URBAN,Less than 20,1743,287,1429,235,292,39,20,12,2,1,0,0
HH06,07,03,District - North East   *  (03),URBAN,20-29,34526,1047,4725,82,29609,785,155,147,37,33,0,0
HH06,07,03,District - North East   *  (03),URBAN,30-39,87096,2868,920,38,84345,2067,1747,635,84,128,0,0
HH06,07,03,District - North East   *  (03),URBAN,40-49,77435,3517,303,40,73202,2100,3857,1259,73,118,0,0
HH06,07,03,District - North East   *  (03),URBAN,50-59,40183,3049,146,18,35790,1264,4202,1717,45,50,0,0
HH06,07,03,District - North East   *  (03),URBAN,60-69,20761,2761,91,16,16774,727,3877,1997,19,21,0,0
HH06,07,03,District - North East   *  (03),URBAN,70-79,6432,1474,42,5,5005,178,1380,1287,5,4,0,0
HH06,07,03,District - North East   *  (03),URBAN,80+,370,39,100,15,256,15,14,8,0,1,0,0
HH06,07,03,District - North East   *  (03),URBAN,Age Not Stated,1395,494,9,2,1011,35,372,456,3,1,0,0
HH06,07,04,District - East   *  (04),TOTAL,All Ages,271445,15809,10396,813,242422,6404,18316,8147,311,445,0,0
HH06,07,04,District - East   *  (04),TOTAL,Less than 20,1793,265,1414,220,356,20,23,22,0,3,0,0
HH06,07,04,District - East   *  (04),TOTAL,20-29,33763,915,6794,218,26776,560,159,101,34,36,0,0
HH06,07,04,District - East   *  (04),TOTAL,30-39,77484,2314,1346,123,74570,1602,1475,451,93,138,0,0
HH06,07,04,District - East   *  (04),TOTAL,40-49,73355,3104,335,112,69082,1778,3843,1046,95,168,0,0
HH06,07,04,District - East   *  (04),TOTAL,50-59,43940,3080,172,67,38947,1256,4764,1698,57,59,0,0
HH06,07,04,District - East   *  (04),TOTAL,60-69,27700,3157,106,48,22469,805,5103,2275,22,29,0,0
HH06,07,04,District - East   *  (04),TOTAL,70-79,10451,2092,55,15,8137,266,2253,1803,6,8,0,0
HH06,07,04,District - East   *  (04),TOTAL,80+,720,58,145,10,545,31,29,16,1,1,0,0
HH06,07,04,District - East   *  (04),TOTAL,Age Not Stated,2239,824,29,0,1540,86,667,735,3,3,0,0
HH06,07,04,District - East   *  (04),RURAL,All Ages,4211,266,229,31,3809,134,165,92,8,9,0,0
HH06,07,04,District - East   *  (04),RURAL,Less than 20,57,5,40,4,17,1,0,0,0,0,0,0
HH06,07,04,District - East   *  (04),RURAL,20-29,653,30,126,6,525,20,2,4,0,0,0,0
HH06,07,04,District - East   *  (04),RURAL,30-39,1283,55,43,9,1222,38,16,4,2,4,0,0
HH06,07,04,District - East   *  (04),RURAL,40-49,949,53,8,4,900,37,39,8,2,4,0,0
HH06,07,04,District - East   *  (04),RURAL,50-59,586,50,2,7,548,22,34,20,2,1,0,0
HH06,07,04,District - East   *  (04),RURAL,60-69,472,39,2,1,421,12,48,26,1,0,0,0
HH06,07,04,District - East   *  (04),RURAL,70-79,167,21,3,0,140,3,24,18,0,0,0,0
HH06,07,04,District - East   *  (04),RURAL,80+,18,2,4,0,13,1,0,1,1,0,0,0
HH06,07,04,District - East   *  (04),RURAL,Age Not Stated,26,11,1,0,23,0,2,11,0,0,0,0
HH06,07,04,District - East   *  (04),URBAN,All Ages,267234,15543,10167,782,238613,6270,18151,8055,303,436,0,0
HH06,07,04,District - East   *  (04),URBAN,Less than 20,1736,260,1374,216,339,19,23,22,0,3,0,0
HH06,07,04,District - East   *  (04),URBAN,20-29,33110,885,6668,212,26251,540,157,97,34,36,0,0
HH06,07,04,District - East   *  (04),URBAN,30-39,76201,2259,1303,114,73348,1564,1459,447,91,134,0,0
HH06,07,04,District - East   *  (04),URBAN,40-49,72406,3051,327,108,68182,1741,3804,1038,93,164,0,0
HH06,07,04,District - East   *  (04),URBAN,50-59,43354,3030,170,60,38399,1234,4730,1678,55,58,0,0
HH06,07,04,District - East   *  (04),URBAN,60-69,27228,3118,104,47,22048,793,5055,2249,21,29,0,0
HH06,07,04,District - East   *  (04),URBAN,70-79,10284,2071,52,15,7997,263,2229,1785,6,8,0,0
HH06,07,04,District - East   *  (04),URBAN,80+,702,56,141,10,532,30,29,15,0,1,0,0
HH06,07,04,District - East   *  (04),URBAN,Age Not Stated,2213,813,28,0,1517,86,665,724,3,3,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,All Ages,36814,2683,1632,271,33435,1514,1689,823,58,75,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,Less than 20,310,28,245,23,62,4,2,1,1,0,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,20-29,4405,253,879,50,3498,172,24,22,4,9,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,30-39,10442,592,244,65,9990,440,195,66,13,21,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,40-49,10971,690,87,55,10383,453,481,162,20,20,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,50-59,7801,609,58,60,7258,286,472,244,13,19,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,60-69,1802,279,39,14,1472,103,287,158,4,4,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,70-79,693,137,25,3,506,29,160,104,2,1,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,80+,160,14,45,0,114,11,1,2,0,1,0,0
HH06,07,05,District - New Delhi  (05),TOTAL,Age Not Stated,230,81,10,1,152,16,67,64,1,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,All Ages,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,Less than 20,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,20-29,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,30-39,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,40-49,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,50-59,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,60-69,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,70-79,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,80+,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),RURAL,Age Not Stated,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,05,District - New Delhi  (05),URBAN,All Ages,36814,2683,1632,271,33435,1514,1689,823,58,75,0,0
HH06,07,05,District - New Delhi  (05),URBAN,Less than 20,310,28,245,23,62,4,2,1,1,0,0,0
HH06,07,05,District - New Delhi  (05),URBAN,20-29,4405,253,879,50,3498,172,24,22,4,9,0,0
HH06,07,05,District - New Delhi  (05),URBAN,30-39,10442,592,244,65,9990,440,195,66,13,21,0,0
HH06,07,05,District - New Delhi  (05),URBAN,40-49,10971,690,87,55,10383,453,481,162,20,20,0,0
HH06,07,05,District - New Delhi  (05),URBAN,50-59,7801,609,58,60,7258,286,472,244,13,19,0,0
HH06,07,05,District - New Delhi  (05),URBAN,60-69,1802,279,39,14,1472,103,287,158,4,4,0,0
HH06,07,05,District - New Delhi  (05),URBAN,70-79,693,137,25,3,506,29,160,104,2,1,0,0
HH06,07,05,District - New Delhi  (05),URBAN,80+,160,14,45,0,114,11,1,2,0,1,0,0
HH06,07,05,District - New Delhi  (05),URBAN,Age Not Stated,230,81,10,1,152,16,67,64,1,0,0,0
HH06,07,06,District - Central  *  (06),TOTAL,All Ages,111835,8364,5289,572,93477,2759,12868,4802,201,231,0,0
HH06,07,06,District - Central  *  (06),TOTAL,Less than 20,1104,199,902,161,180,19,20,19,2,0,0,0
HH06,07,06,District - Central  *  (06),TOTAL,20-29,10803,401,2596,90,8106,254,84,41,17,16,0,0
HH06,07,06,District - Central  *  (06),TOTAL,30-39,26645,1006,870,64,24826,615,901,259,48,68,0,0
HH06,07,06,District - Central  *  (06),TOTAL,40-49,30623,1441,402,89,27861,641,2294,636,66,75,0,0
HH06,07,06,District - Central  *  (06),TOTAL,50-59,21327,1543,232,81,18158,498,2896,923,41,41,0,0
HH06,07,06,District - Central  *  (06),TOTAL,60-69,13046,1703,150,61,9260,442,3619,1178,17,22,0,0
HH06,07,06,District - Central  *  (06),TOTAL,70-79,6232,1348,70,16,3962,218,2192,1107,8,7,0,0
HH06,07,06,District - Central  *  (06),TOTAL,80+,166,22,47,5,106,10,12,7,1,0,0,0
HH06,07,06,District - Central  *  (06),TOTAL,Age Not Stated,1889,701,20,5,1018,62,850,632,1,2,0,0
HH06,07,06,District - Central  *  (06),RURAL,All Ages,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,Less than 20,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,20-29,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,30-39,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,40-49,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,50-59,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,60-69,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,70-79,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,80+,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),RURAL,Age Not Stated,0,0,0,0,0,0,0,0,0,0,0,0
HH06,07,06,District - Central  *  (06),URBAN,All Ages,111835,8364,5289,572,93477,2759,12868,4802,201,231,0,0
HH06,07,06,District - Central  *  (06),URBAN,Less than 20,1104,199,902,161,180,19,20,19,2,0,0,0
HH06,07,06,District - Central  *  (06),URBAN,20-29,10803,401,2596,90,8106,254,84,41,17,16,0,0
HH06,07,06,District - Central  *  (06),URBAN,30-39,26645,1006,870,64,24826,615,901,259,48,68,0,0
HH06,07,06,District - Central  *  (06),URBAN,40-49,30623,1441,402,89,27861,641,2294,636,66,75,0,0
HH06,07,06,District - Central  *  (06),URBAN,50-59,21327,1543,232,81,18158,498,2896,923,41,41,0,0
HH06,07,06,District - Central  *  (06),URBAN,60-69,13046,1703,150,61,9260,442,3619,1178,17,22,0,0
HH06,07,06,District - Central  *  (06),URBAN,70-79,6232,1348,70,16,3962,218,2192,1107,8,7,0,0
HH06,07,06,District - Central  *  (06),URBAN,80+,166,22,47,5,106,10,12,7,1,0,0,0
HH06,07,06,District - Central  *  (06),URBAN,Age Not Stated,1889,701,20,5,1018,62,850,632,1,2,0,0
HH06,07,07,District - West   *  (07),TOTAL,All Ages,408615,23422,13793,1019,362569,8708,31770,13048,483,647,0,0
HH06,07,07,District - West   *  (07),TOTAL,Less than 20,3511,354,2700,264,759,57,50,32,2,1,0,0
HH06,07,07,District - West   *  (07),TOTAL,20-29,50300,1232,8140,278,41851,714,252,188,57,52,0,0
HH06,07,07,District - West   *  (07),TOTAL,30-39,112264,3096,1436,108,108211,2044,2480,741,137,203,0,0
HH06,07,07,District - West   *  (07),TOTAL,40-49,106751,4106,506,124,99958,2249,6134,1501,153,232,0,0
HH06,07,07,District - West   *  (07),TOTAL,50-59,67120,4228,304,104,59195,1653,7550,2376,71,95,0,0
HH06,07,07,District - West   *  (07),TOTAL,60-69,44130,4851,178,86,34876,1320,9033,3392,43,53,0,0
HH06,07,07,District - West   *  (07),TOTAL,70-79,19077,3742,116,32,14191,512,4753,3190,17,8,0,0
HH06,07,07,District - West   *  (07),TOTAL,80+,820,71,381,15,422,33,16,23,1,0,0,0
HH06,07,07,District - West   *  (07),TOTAL,Age Not Stated,4642,1742,32,8,3106,126,1502,1605,2,3,0,0
HH06,07,07,District - West   *  (07),RURAL,All Ages,16505,617,839,11,15039,241,612,348,15,17,0,0
HH06,07,07,District - West   *  (07),RURAL,Less than 20,221,7,184,5,36,2,1,0,0,0,0,0
HH06,07,07,District - West   *  (07),RURAL,20-29,3437,46,514,3,2912,31,8,10,3,2,0,0
HH06,07,07,District - West   *  (07),RURAL,30-39,6124,128,54,1,5974,82,95,39,1,6,0,0
HH06,07,07,District - West   *  (07),RURAL,40-49,3723,124,15,1,3529,65,173,51,6,7,0,0
HH06,07,07,District - West   *  (07),RURAL,50-59,1680,113,4,1,1511,36,160,75,5,1,0,0
HH06,07,07,District - West   *  (07),RURAL,60-69,848,96,5,0,722,18,121,77,0,1,0,0
HH06,07,07,District - West   *  (07),RURAL,70-79,324,65,5,0,271,4,48,61,0,0,0,0
HH06,07,07,District - West   *  (07),RURAL,80+,81,3,56,0,25,2,0,1,0,0,0,0
HH06,07,07,District - West   *  (07),RURAL,Age Not Stated,67,35,2,0,59,1,6,34,0,0,0,0
HH06,07,07,District - West   *  (07),URBAN,All Ages,392110,22805,12954,1008,347530,8467,31158,12700,468,630,0,0
HH06,07,07,District - West   *  (07),URBAN,Less than 20,3290,347,2516,259,723,55,49,32,2,1,0,0
HH06,07,07,District - West   *  (07),URBAN,20-29,46863,1186,7626,275,38939,683,244,178,54,50,0,0
HH06,07,07,District - West   *  (07),URBAN,30-39,106140,2968,1382,107,102237,1962,2385,702,136,197,0,0
HH06,07,07,District - West   *  (07),URBAN,40-49,103028,3982,491,123,96429,2184,5961,1450,147,225,0,0
HH06,07,07,District - West   *  (07),URBAN,50-59,65440,4115,300,103,57684,1617,7390,2301,66,94,0,0
HH06,07,07,District - West   *  (07),URBAN,60-69,43282,4755,173,86,34154,1302,8912,3315,43,52,0,0
HH06,07,07,District - West   *  (07),URBAN,70-79,18753,3677,111,32,13920,508,4705,3129,17,8,0,0
HH06,07,07,District - West   *  (07),URBAN,80+,739,68,325,15,397,31,16,22,1,0,0,0
HH06,07,07,District - West   *  (07),URBAN,Age Not Stated,4575,1707,30,8,3047,125,1496,1571,2,3,0,0
HH06,07,08,District - South West   *  (08),TOTAL,All Ages,345394,18013,15143,1207,313958,8551,15999,7856,294,399,0,0
HH06,07,08,District - South West   *  (08),TOTAL,Less than 20,2991,266,2385,212,588,38,17,14,1,2,0,0
HH06,07,08,District - South West   *  (08),TOTAL,20-29,53924,1604,10149,454,43510,964,232,151,33,35,0,0
HH06,07,08,District - South West   *  (08),TOTAL,30-39,110967,3776,1622,208,107315,2792,1944,616,86,160,0,0
HH06,07,08,District - South West   *  (08),TOTAL,40-49,90440,3968,440,185,85950,2502,3970,1160,80,121,0,0
HH06,07,08,District - South West   *  (08),TOTAL,50-59,53048,3313,230,94,48767,1334,3993,1830,58,55,0,0
HH06,07,08,District - South West   *  (08),TOTAL,60-69,22742,2554,133,27,18914,671,3675,1836,20,20,0,0
HH06,07,08,District - South West   *  (08),TOTAL,70-79,8695,1721,51,15,7040,199,1592,1503,12,4,0,0
HH06,07,08,District - South West   *  (08),TOTAL,80+,339,24,105,6,221,8,12,10,1,0,0,0
HH06,07,08,District - South West   *  (08),TOTAL,Age Not Stated,2248,787,28,6,1653,43,564,736,3,2,0,0
